seqnum,StationNumber,Latitude,Longitude,Elevation,StationName                             ,Who_entered,use_index,source_seqnum,country_seqnum
1400265,34815,47.4111,18.9492,140.6,Diósd                                   ,7,1,116,205
1400266,35120,47.3244,18.1381,189,Balinka Mecsér                          ,7,1,116,205
1400267,35121,47.2678,18.1003,408,Isztimér Hétházpuszta                   ,7,1,116,205
1400268,35121,47.2678,18.1003,408,Isztimér Hétházpuszta                   ,7,1,116,205
1400269,35121,47.2678,18.1003,408,Isztimér Hétházpuszta                   ,7,1,116,205
1400270,35208,47.1914,18.4136,112,Székesfehérvár Belváros                 ,7,1,116,205
1400271,35208,47.1914,18.4136,112,Székesfehérvár Belváros                 ,7,1,116,205
1400272,35223,47.2425,18.3361,117,Moha                                    ,7,1,116,205
1400273,35223,47.2425,18.3361,117,Moha                                    ,7,1,116,205
1400274,35314,47.2414,18.6792,114,Kápolnásnyék                            ,7,1,116,205
1400275,35321,47.3081,18.5486,152.7,Lovasberény                             ,7,1,116,205
1400276,35321,47.3081,18.5486,152.7,Lovasberény                             ,7,1,116,205
1400277,35322,47.19,18.5836,104,Gárdony Agárd                           ,7,1,116,205
1400278,35407,47.2503,18.8933,123.7,Ercsi                                   ,7,1,116,205
1400279,35407,47.2503,18.8933,123.7,Ercsi                                   ,7,1,116,205
1400280,35419,47.2825,18.8244,111,Ráckeresztúr                            ,7,1,116,205
1400281,35505,46.9911,18.2464,112,Lepsény                                 ,7,1,116,205
1400282,35505,46.9911,18.2464,112,Lepsény                                 ,7,1,116,205
1400283,35522,47.1606,18.0731,160,Öskü                                    ,7,1,116,205
1400284,35522,47.1606,18.0731,160,Öskü                                    ,7,1,116,205
1400285,35709,47.1292,18.6722,119.4,Zichyújfalu                             ,7,1,116,205
1400286,35801,47.1233,18.8631,99,Adony Árpád utca                        ,7,1,116,205
1400287,36112,46.9031,18.0431,106.6,Siófok belváros                         ,7,1,116,205
1400288,36112,46.9031,18.0431,106.6,Siófok belváros                         ,7,1,116,205
1400289,36113,46.9108,18.0408,107.2,Siófok Obszervatórium                   ,7,1,116,205
1400290,36113,46.9108,18.0408,107.2,Siófok Obszervatórium                   ,7,1,116,205
1400291,36203,46.9178,18.3489,133,Mátyásdomb                              ,7,1,116,205
1400292,36208,46.9639,18.3942,140,Kisláng                                 ,7,1,116,205
1400293,36306,46.9578,18.4811,131,Sárbogárd Nagyhörcsökpuszta             ,7,1,116,205
1400294,36502,46.6733,17.9794,185,Zics                                    ,7,1,116,205
1400295,36517,46.7336,18.0253,176,Tab                                     ,7,1,116,205
1400296,36517,46.7336,18.0253,176,Tab                                     ,7,1,116,205
1400297,36518,46.6922,18.1914,162,Iregszemcse Kastélypark                 ,7,1,116,205
1400298,36518,46.6922,18.1914,162,Iregszemcse Kastélypark                 ,7,1,116,205
1400299,36613,46.6831,18.4372,104.1,Pincehely                               ,7,1,116,205
1400300,36613,46.6831,18.4372,104.1,Pincehely                               ,7,1,116,205
1400301,36701,46.7519,18.5378,99,Simontornya                             ,7,1,116,205
1400302,36701,46.7519,18.5378,99,Simontornya                             ,7,1,116,205
1400303,36701,46.7519,18.5378,99,Simontornya                             ,7,1,116,205
1400304,36701,46.7519,18.5378,99,Simontornya                             ,7,1,116,205
1400305,36703,46.7683,18.6156,95,Sáregres Cece                           ,7,1,116,205
1400306,36703,46.7683,18.6156,95,Sáregres Cece                           ,7,1,116,205
1400307,36703,46.7683,18.6156,95,Sáregres Cece                           ,7,1,116,205
1400308,36809,46.6831,18.8044,139,Paks Gyapa                              ,7,1,116,205
1400309,36810,46.8083,18.9217,102,Dunaföldvár                             ,7,1,116,205
1400310,37107,46.5364,18.1056,197.5,Szakcs                                  ,7,1,116,205
1400311,37202,46.5208,18.3825,117,Szakály                                 ,7,1,116,205
1400312,37202,46.5208,18.3825,117,Szakály                                 ,7,1,116,205
1400313,37203,46.4981,18.4139,181,Hőgyész                                 ,7,1,116,205
1400314,37203,46.4981,18.4139,181,Hőgyész                                 ,7,1,116,205
1400315,37213,46.6358,18.2797,132.5,Tamási                                  ,7,1,116,205
1400316,37213,46.6358,18.2797,132.5,Tamási                                  ,7,1,116,205
1400317,37302,46.5303,18.7108,120,Tengelic                                ,7,1,116,205
1400318,37408,46.6414,19.0036,91,Dunapataj                               ,7,1,116,205
1400319,37413,46.5736,18.8456,96.2,Paks Meteorológia                       ,7,1,116,205
1400320,37413,46.5736,18.8456,96.2,Paks Meteorológia                       ,7,1,116,205
1400321,37414,46.5258,18.9547,91,Kalocsa                                 ,7,1,116,205
1400322,37508,46.3747,18.1358,133,Dombóvár                                ,7,1,116,205
1400323,37522,46.4286,18.0172,147,Gölle                                   ,7,1,116,205
1400324,37522,46.4286,18.0172,147,Gölle                                   ,7,1,116,205
1400325,37726,46.3392,18.6661,179,Szekszárd Csötönyi-völgy                ,7,1,116,205
1400326,38105,46.2525,18.1111,135,Sásd                                    ,7,1,116,205
1400327,38110,46.2228,18.0556,181,Mindszentgodisa                         ,7,1,116,205
1400328,38210,46.2603,18.3964,193.1,Máza                                    ,7,1,116,205
1400329,38210,46.2603,18.3964,193.1,Máza                                    ,7,1,116,205
1400330,38210,46.2603,18.3964,193.1,Máza                                    ,7,1,116,205
1400331,38222,46.27,18.4325,155,Váralja                                 ,7,1,116,205
1400332,38307,46.285,18.6303,180,Szálka                                  ,7,1,116,205
1400333,38307,46.285,18.6303,180,Szálka                                  ,7,1,116,205
1400334,38318,46.1819,18.7178,88,Bátaszék                                ,7,1,116,205
1400335,38411,46.2039,18.8153,85.6,Pörböly                                 ,7,1,116,205
1400336,38411,46.2039,18.8153,85.6,Pörböly                                 ,7,1,116,205
1400337,38411,46.2039,18.8153,85.6,Pörböly                                 ,7,1,116,205
1400338,38412,46.2072,18.8122,85,Pörböly                                 ,7,1,116,205
1400339,38413,46.1903,18.9497,93,Baja Józsefváros                        ,7,1,116,205
1400340,38501,46.0572,18.0947,143,Szentlőrinc Tortyogó                    ,7,1,116,205
1400341,38501,46.0572,18.0947,143,Szentlőrinc Tortyogó                    ,7,1,116,205
1400342,38505,46.0517,18.2228,124,Pécs Kertváros                          ,7,1,116,205
1400343,38525,46.0853,18.0828,233.2,Bakonya                                 ,7,1,116,205
1400344,38525,46.0853,18.0828,233.2,Bakonya                                 ,7,1,116,205
1400345,38536,46.0778,18.2072,174,Pécs Egyetem                            ,7,1,116,205
1400346,38615,46.0411,18.2878,178,Kozármisleny                            ,7,1,116,205
1400347,38708,46.1325,18.6364,169,Palotabozsok                            ,7,1,116,205
1400348,38804,46.1447,18.88,85,Szeremle                                ,7,1,116,205
1400349,38805,46.0042,18.8919,85,Dávod                                   ,7,1,116,205
1400350,39110,45.8953,18.0094,96,Páprád                                  ,7,1,116,205
1400351,39110,45.8953,18.0094,96,Páprád                                  ,7,1,116,205
1400352,39117,45.9525,18.2497,158,Szalánta Németi                         ,7,1,116,205
1400353,39308,45.9497,18.7083,85,Kölked                                  ,7,1,116,205
1400354,39308,45.9497,18.7083,85,Kölked                                  ,7,1,116,205
1400355,39410,45.9444,18.9375,87,Hercegszántó                            ,7,1,116,205
